semaine_code,semaine_label,jour,moment,type,distance_km,allure,repetitions,distance_rep,pause,surface,notes
1.1,Semaine du 20 au 26 Janvier  - ENDURANCE: 39 km,Lundi,journée,off,,,,,,,off
1.1,Semaine du 20 au 26 Janvier  - ENDURANCE: 39 km,Mardi,journée,intervalles,,5:10,6,4min,2,tapis,Mardi tapis roulant | 10 min à 5m10 | pause 2 min / | 6 x 4 min à 4m20 pause 2 min entre tes 4 min / | 10 min à 5m10
1.1,Semaine du 20 au 26 Janvier  - ENDURANCE: 39 km,Mercredi,journée,course,14.0,5:20,,,,ext,Mercredi 14 km ext à 5m20
1.1,Semaine du 20 au 26 Janvier  - ENDURANCE: 39 km,Jeudi,journée,course,10.0,5:10,,,,ext,Jeudi 10 km ext à 5m10
1.1,Semaine du 20 au 26 Janvier  - ENDURANCE: 39 km,Vendredi,journée,intervalles,,5:10,9,2min,2,tapis,Vendredi tapis roulant | 10 min à 5m10 | pause 2 min / | 9 x 2 min à 4m10 pause 1 min entre tes 2 min / | 10 min à 5m10
1.1,Semaine du 20 au 26 Janvier  - ENDURANCE: 39 km,Samedi,journée,off,,,,,,,off
1.1,Semaine du 20 au 26 Janvier  - ENDURANCE: 39 km,Dimanche,journée,course,15.0,5:25,,,,ext,Dimanche 15 km ext à 5m25
1.2,Semaine du 27 au 2 Février  - ENDURANCE: 45 km,Lundi,journée,off,,,,,,,off
1.2,Semaine du 27 au 2 Février  - ENDURANCE: 45 km,Mardi,journée,intervalles,,5:10,5,5min,2,tapis,Mardi tapis roulant | 10 min à 5m10 pause 2 min / | 5 x 5 min à 4m25 pause 2m30  entre tes 5 min / | 10 min à 5m10
1.2,Semaine du 27 au 2 Février  - ENDURANCE: 45 km,Mercredi,journée,course,15.0,5:25,,,,ext,Mercredi 15 km ext à 5m25
1.2,Semaine du 27 au 2 Février  - ENDURANCE: 45 km,Jeudi,journée,course,12.0,5:15,,,,ext,Jeudi 12 km ext à 5m15
1.2,Semaine du 27 au 2 Février  - ENDURANCE: 45 km,Vendredi,journée,intervalles,,5:10,15,1min,2,tapis,Vendredi tapis roulant | 10 min à 5m10 pause 2 min / | 15 x 1 min à 4m05 pause 1 min entre tes 1 min / | 10 min à 5m10
1.2,Semaine du 27 au 2 Février  - ENDURANCE: 45 km,Samedi,journée,off,,,,,,,off
1.2,Semaine du 27 au 2 Février  - ENDURANCE: 45 km,Dimanche,journée,course,18.0,5:30,,,,ext,Dimanche 18 km ext à 5m30
1.3,Semaine du 3 au 9 Février  - ENDURANCE: 48 km,Lundi,journée,off,,,,,,,off
1.3,Semaine du 3 au 9 Février  - ENDURANCE: 48 km,Mardi,journée,tempo,,5:10,,,,tapis,Mardi tapis roulant 60 min tempo | en alternance toute d'une shot | 10 min à 5m10 | 10 min à 4m30 | 10 min à 5m10 | 10 min à 4m30 | 10 min à 5m10 | 10 min à 4m30
1.3,Semaine du 3 au 9 Février  - ENDURANCE: 48 km,Mercredi,journée,course,16.0,5:30,,,,ext,Mercredi 16 km ext à 5m30
1.3,Semaine du 3 au 9 Février  - ENDURANCE: 48 km,Jeudi,journée,course,12.0,5:15,,,,ext,Jeudi 12 km ext à 5m15
1.3,Semaine du 3 au 9 Février  - ENDURANCE: 48 km,Vendredi,journée,intervalles,,5:10,9,2min,2,tapis,Vendredi tapis roulant | 10 min à 5m10 pause 2 min / | 9 x 2 min à 4m10 pause 1 min entre tes 2 min / | 10 min à 5m10
1.3,Semaine du 3 au 9 Février  - ENDURANCE: 48 km,Samedi,journée,off,,,,,,,off
1.3,Semaine du 3 au 9 Février  - ENDURANCE: 48 km,Dimanche,journée,course,20.0,5:35,,,,ext,Dimanche 20 km ext à 5m35 tes 4 dernier + rapide
1.4,Semaine du 10 au 16 Février  - ENDURANCE: 52 km,Lundi,journée,off,,,,,,,off
1.4,Semaine du 10 au 16 Février  - ENDURANCE: 52 km,Mardi,journée,tapis_complexe,5.0,5:10,,,2,tapis,Mardi tapis roulant | 10 min à 5m10 pause 2 min / | test 5 km comme une compétition joue souvent avec la vitesse pour faire un meilleur chrono / | 10 min à 4m40
1.4,Semaine du 10 au 16 Février  - ENDURANCE: 52 km,Mercredi,journée,course,18.0,5:30,,,,ext,Mercredi 18 km ext à 5m30
1.4,Semaine du 10 au 16 Février  - ENDURANCE: 52 km,Jeudi,journée,course,12.0,5:15,,,,ext,Jeudi 12 km ext à 5m15
1.4,Semaine du 10 au 16 Février  - ENDURANCE: 52 km,Vendredi,journée,intervalles,,5:10,18,1min,2,tapis,Vendredi tapis roulant | 10 min à 5m10 pause 2 min / | 18 x 1 min à 4m00 pause 1 min entre tes 1 min / | 10 min à 5m10
1.4,Semaine du 10 au 16 Février  - ENDURANCE: 52 km,Samedi,journée,off,,,,,,,off
1.4,Semaine du 10 au 16 Février  - ENDURANCE: 52 km,Dimanche,journée,course,22.0,5:35,,,,ext,22 km ext à 5m35 tes 5 dernier + rapide
10.1,Semaine du 29 au 5 Octobre,Lundi,journée,off,,,,,,,off
10.1,Semaine du 29 au 5 Octobre,Mardi,matin,intervalles,2.0,4:40,2,1500m,2,ext,2 km ext à 4m40 pause 2 min / | 2 x 1500m à 3m55 en contrôle pas + vite  pause 2m30 entre tes 1500m / | 8 x 500m à 3m35 pause 1m30 entre tes 500m / | 2 km à 4m40
10.1,Semaine du 29 au 5 Octobre,Mardi,soir,course,8.0,5:15,,,,ext,Mardi soir 8 km ext à 5m15
10.1,Semaine du 29 au 5 Octobre,Mercredi,journée,course,18.0,5:30,,,,ext,Mercredi 18 km ext à 5m30
10.1,Semaine du 29 au 5 Octobre,Jeudi,journée,course,14.0,5:25,,,,ext,Jeudi 14 km ext à 5m25
10.1,Semaine du 29 au 5 Octobre,Vendredi,journée,intervalles,2.0,4:40,12,400m,2,ext,2 km ext à 4m40 pause 2 min / | 12 x 400m à 3m30 pause 1m25 entre tes 400m pas + vite  / | 2 km à 4m40
10.1,Semaine du 29 au 5 Octobre,Vendredi,soir,course,8.0,5:15,,,,ext,Vendredi soir 8 km à 5m15
10.1,Semaine du 29 au 5 Octobre,Samedi,journée,off,,,,,,,off
10.1,Semaine du 29 au 5 Octobre,Dimanche,journée,course,24.0,4:45,,,,ext,Dimanche 24 km ext à 4m45 tes 4 dernier + rapide
10.2,Semaine du 6 au 12 octobre,Lundi,journée,off,,,,,,,off
10.2,Semaine du 6 au 12 octobre,Mardi,matin,intervalles,2.0,4:40,2,1500m,2,ext,2 km ext à 4m40 pause 2 min / | 2 x 1500m à 3m50 pas + vite  pause 2m30 entre tes 1500m / | 4 x 500m à 3m30 pause 1m30 entre tes 500m pas + vite  / | 2 km à 4m40
10.2,Semaine du 6 au 12 octobre,Mercredi,journée,course,16.0,5:25,,,,ext,Mercredi 16 km ext à 5m25
10.2,Semaine du 6 au 12 octobre,Jeudi,journée,course,12.0,5:10,,,,ext,Jeudi 12 km ext à 5m10
10.2,Semaine du 6 au 12 octobre,Vendredi,journée,intervalles,2.0,4:40,12,300m,2,ext,2 km ext à 4m40 pause 2 min / | 12 x 300m à 3m25 pause 1m10 entre tes 300m pas + vite  / | 2 km à 4m40
10.2,Semaine du 6 au 12 octobre,Samedi,journée,off,,,,,,,off
10.2,Semaine du 6 au 12 octobre,Dimanche,journée,tempo,15.0,4:45,,,,ext,Dimanche 15 km ext tempo | 5 km à 4m45 | 5 km à 4m10 | 5 km à 4m45
10.3,Semaine du 13 au 19 Octobre,Lundi,journée,course,14.0,5:20,,,,ext,Lundi 14 km ext à 5m20
10.3,Semaine du 13 au 19 Octobre,Mardi,journée,course,12.0,5:15,,,,ext,Mardi 12 km ext à 5m15
10.3,Semaine du 13 au 19 Octobre,Mercredi,journée,intervalles,2.0,4:40,12,300m,2,ext,2 km ext à 4m40 pause 2 min / | 12 x 300m à 3m25 pas + vite pause 1m10 entre tes 300m  / | 2 km à 4m40
10.3,Semaine du 13 au 19 Octobre,Jeudi,journée,off,,,,,,,off
10.3,Semaine du 13 au 19 Octobre,Vendredi,journée,off,,,,,,,off
10.3,Semaine du 13 au 19 Octobre,Samedi,journée,off,,,,,,,off
10.3,Semaine du 13 au 19 Octobre,Dimanche,journée,course_officielle,,,,,,,Dimanche Marathon de Toronto
10.4,Semaine du 20 au 26 Octobre,Lundi,journée,off,,,,,,,off
10.4,Semaine du 20 au 26 Octobre,Mardi,journée,off,,,,,,,off
10.4,Semaine du 20 au 26 Octobre,Mercredi,journée,off,,,,,,,off
